som_mouse_1_1,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,Part of,Is a,Part of,Is a,Part of,Is a,Part of,Description
0.0092519,42535,positive regulation of tumor necrosis factor biosynthetic process,biological process,42108,positive regulation of cytokine biosynthetic process,42534,regulation of tumor necrosis factor biosynthetic process,,,,,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of tumor necrosis factor, an inflammatory cytokine produced by macrophages/monocytes during acute inflammation and which is responsible for a diverse range of signaling events within cells, leading to necrosis or apoptosis. [GOC:jl, PMID:10891884]"
0.013592,1937,negative regulation of endothelial cell proliferation,biological process,1936,regulation of endothelial cell proliferation,50680,negative regulation of epithelial cell proliferation,,,,,"Any process that stops, prevents, or reduces the rate or extent of endothelial cell proliferation. [GOC:add]"
0.013592,15701,bicarbonate transport,biological process,15698,inorganic anion transport,15711,organic anion transport,,,,,"The directed movement of bicarbonate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:krc]"
0.015061,7368,determination of left/right symmetry,biological process,9855,determination of bilateral symmetry,,,,,,,"The establishment of an organism's body plan or part of an organism with respect to the left and right halves. The pattern can either be symmetric, such that the halves are mirror images, or asymmetric where the pattern deviates from this symmetry. [GOC:dph, GOC:jid]"
0.018638,7250,activation of NF-kappaB-inducing kinase activity,biological process,9966,regulation of signal transduction,32147,activation of protein kinase activity,71902,positive regulation of protein serine/threonine kinase activity,,,"The stimulation of the activity of NF-kappaB-inducing kinase through phosphorylation at specific residues. [GOC:jl, PMID:12773372]"
0.018638,60173,limb development,biological process,48736,appendage development,,,,,,,"The process whose specific outcome is the progression of a limb over time, from its formation to the mature structure. A limb is an appendage of an animal used for locomotion or grasping. Examples include legs, arms or some types of fin. [GOC:dgh, GOC:dph, PMID:11487378]"
0.018638,60425,lung morphogenesis,biological process,9887,organ morphogenesis,,,,,,,The process in which the anatomical structures of the lung are generated and organized. [GOC:dph]
0.019049,42472,inner ear morphogenesis,biological process,48598,embryonic morphogenesis,,,,,,,"The process in which the anatomical structures of the inner ear are generated and organized. The inner ear is the structure in vertebrates that contains the organs of balance and hearing. It consists of soft hollow sensory structures (the membranous labyrinth) containing fluid (endolymph) surrounded by fluid (perilymph) and encased in a bony cavity (the bony labyrinth). It consists of two chambers, the sacculus and utriculus, from which arise the cochlea and semicircular canals respectively. [GOC:jl, ISBN:0192801023]"
0.020497,7219,Notch signaling pathway,biological process,7166,cell surface receptor signaling pathway,,,,,,,"A series of molecular signals initiated by the binding of an extracellular ligand to the receptor Notch on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription. [GOC:go_curators, GOC:signaling]"
0.021072,30308,negative regulation of cell growth,biological process,1558,regulation of cell growth,45926,negative regulation of growth,48523,negative regulation of cellular process,,,"Any process that stops, prevents, or reduces the frequency, rate, extent or direction of cell growth. [GOC:go_curators]"
0.023568,42475,odontogenesis of dentin-containing tooth,biological process,42476,odontogenesis,,,,,,,"The process whose specific outcome is the progression of a dentin-containing tooth over time, from its formation to the mature structure. A dentin-containing tooth is a hard, bony organ borne on the jaw or other bone of a vertebrate, and is composed mainly of dentin, a dense calcified substance, covered by a layer of enamel. [GOC:cjm, GOC:mah, GOC:mtg_sensu, PMID:10333884, PMID:15355794]"
0.024341,7565,female pregnancy,biological process,22414,reproductive process,51704,multi-organism process,,,,,The set of physiological processes that allow an embryo or foetus to develop within the body of a female animal. It covers the time from fertilization of a female ovum by a male spermatozoon until birth. [ISBN:0192800825]
0.024341,45747,positive regulation of Notch signaling pathway,biological process,8593,regulation of Notch signaling pathway,9967,positive regulation of signal transduction,,,,,"Any process that activates or increases the frequency, rate or extent of the Notch signaling pathway. [GOC:go_curators]"
0.024341,45879,negative regulation of smoothened signaling pathway,biological process,8589,regulation of smoothened signaling pathway,9968,negative regulation of signal transduction,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of smoothened signaling. [GOC:go_curators]"
0.030655,23019,signal transduction involved in regulation of gene expression,biological process,7165,signal transduction,,,,,,,"Any process that modulates the frequency, rate or extent of gene expression as a consequence of a process in which a signal is released and/or conveyed from one location to another. [GOC:mtg_signal]"
0.030655,48566,embryonic digestive tract development,biological process,48565,digestive tract development,48568,embryonic organ development,,,,,"The process whose specific outcome is the progression of the gut over time, from its formation to the mature structure during embryonic development. The gut is the region of the digestive tract extending from the beginning of the intestines to the anus. [GOC:go_curators]"
0.037538,35108,limb morphogenesis,biological process,35107,appendage morphogenesis,,,,,,,"The process in which the anatomical structures of a limb are generated and organized. A limb is an appendage of an animal used for locomotion or grasping. Examples include legs, arms or some types of fin. [ISBN:0395825172]"
0.037538,42491,auditory receptor cell differentiation,biological process,60113,inner ear receptor cell differentiation,,,,,,,"The process in which a relatively unspecialized cell acquires specialized features of an auditory hair cell. [CL:0000201, GOC:jl]"
0.037538,45596,negative regulation of cell differentiation,biological process,45595,regulation of cell differentiation,48523,negative regulation of cellular process,51093,negative regulation of developmental process,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell differentiation. [GOC:go_curators]"
0.044947,6464,protein modification process,biological process,43412,macromolecule modification,44267,cellular protein metabolic process,,,,,"The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification). [GOC:go_curators]"
0.044947,30878,thyroid gland development,biological process,48732,gland development,,,,,,,"The process whose specific outcome is the progression of the thyroid gland over time, from its formation to the mature structure. The thyroid gland is an endoderm-derived gland that produces thyroid hormone. [GOC:dgh]"
0.044947,51145,smooth muscle cell differentiation,biological process,42692,muscle cell differentiation,,,,,,,"The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary. [CL:0000192, GOC:ai]"
som_mouse_5_5,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.00032732,9791,post-embryonic development,biological process,32502,developmental process,,,,,,,"The process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure. See embryonic development. [GOC:go_curators]"
0.00032893,1976,neurological system process involved in regulation of systemic arterial blood pressure,biological process,50877,neurological system process,,,,,,,"The regulation of blood pressure mediated by detection of stimuli and a neurological response. [GOC:mtg_cardio, ISBN:0721643949]"
0.00032893,10523,negative regulation of calcium ion transport into cytosol,biological process,10522,regulation of calcium ion transport into cytosol,32845,negative regulation of homeostatic process,48523,negative regulation of cellular process,51926,negative regulation of calcium ion transport,"Any process that decreases the rate of the directed movement of calcium ions into the cytosol of a cell. The cytosol is that part of the cytoplasm that does not contain membranous or particulate subcellular components. [GOC:dph, GOC:tb]"
0.00045629,31290,retinal ganglion cell axon guidance,biological process,7411,axon guidance,,,,,,,The process in which the migration of an axon growth cone of a retinal ganglion cell (RGC) is directed to its target in the brain in response to a combination of attractive and repulsive cues. [GOC:ejs]
0.00097502,2031,G-protein coupled receptor internalization,biological process,31623,receptor internalization,,,,,,,The process that results in the uptake of a G-protein coupled receptor into an endocytic vesicle. [PMID:8396717]
0.00097502,21520,spinal cord motor neuron cell fate specification,biological process,48665,neuron fate specification,,,,,,,"The process in which a cell becomes capable of differentiating autonomously into a motor neuron in an environment that is neutral with respect to the developmental pathway. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06]"
0.00097502,21524,visceral motor neuron differentiation,biological process,21522,spinal cord motor neuron differentiation,,,,,,,"The process in which neuroepithelial cells in the neural tube acquire specialized structural and/or functional features of visceral motor neurons. Visceral motor neurons innervate glandular targets and are responsible for transmission of motor impulses from the brain to the periphery. Differentiation includes the processes involved in commitment of a cell to a specific fate. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06, PMID:11262869]"
0.001524,1503,ossification,biological process,32501,multicellular organismal process,,,,,,,"The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance. [GOC:mtg_mpo, PMID:17572649]"
0.001524,7409,axonogenesis,biological process,48812,neuron projection morphogenesis,,,,,,,"Generation of a long process of a neuron, that carries efferent (outgoing) action potentials from the cell body towards target cells. [GOC:jid, ISBN:0198506732]"
0.0019268,1935,endothelial cell proliferation,biological process,50673,epithelial cell proliferation,,,,,,,"The multiplication or reproduction of endothelial cells, resulting in the expansion of a cell population. Endothelial cells are thin flattened cells which line the inside surfaces of body cavities, blood vessels, and lymph vessels, making up the endothelium. [GOC:add, ISBN:0781735149]"
0.0027717,45776,negative regulation of blood pressure,biological process,8217,regulation of blood pressure,,,,,,,"Any process in which the force of blood traveling through the circulatory system is decreased. [GOC:go_curators, GOC:mtg_cardio]"
0.0039332,45665,negative regulation of neuron differentiation,biological process,45596,negative regulation of cell differentiation,45664,regulation of neuron differentiation,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of neuron differentiation. [GOC:go_curators]"
0.0047032,2548,monocyte chemotaxis,biological process,30595,leukocyte chemotaxis,,,,,,,"The movement of a monocyte in response to an external stimulus. [GOC:add, PMID:11696603, PMID:15173832]"
0.0047032,32147,activation of protein kinase activity,biological process,45860,positive regulation of protein kinase activity,,,,,,,Any process that initiates the activity of an inactive protein kinase. [GOC:mah]
0.0047032,45780,positive regulation of bone resorption,biological process,32846,positive regulation of homeostatic process,45124,regulation of bone resorption,46852,positive regulation of bone remodeling,,,"Any process that activates or increases the frequency, rate or extent of bone resorption. [GOC:go_curators]"
0.0047032,48701,embryonic cranial skeleton morphogenesis,biological process,48704,embryonic skeletal system morphogenesis,,,,,,,"The process in which the anatomical structures of the cranial skeleton are generated and organized during the embryonic phase. [GOC:dsf, GOC:jid, PMID:16049113]"
0.0047032,60384,innervation,biological process,32502,developmental process,,,,,,,"The process in which a nerve invades a tissue and makes functional synaptic connection within the tissue. [GOC:dph, GOC:sart]"
0.0053515,30819,positive regulation of cAMP biosynthetic process,biological process,30804,positive regulation of cyclic nucleotide biosynthetic process,30816,positive regulation of cAMP metabolic process,30817,regulation of cAMP biosynthetic process,,,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of the nucleotide cAMP (cyclic AMP, adenosine 3',5'-cyclophosphate). [GOC:mah]"
0.0065064,2027,regulation of heart rate,biological process,8016,regulation of heart contraction,65008,regulation of biological quality,,,,,"Any process that modulates the frequency or rate of heart contraction. [GOC:dph, GOC:tb, PMID:10358008]"
0.0065064,30279,negative regulation of ossification,biological process,30278,regulation of ossification,51241,negative regulation of multicellular organismal process,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of bone formation. [GOC:go_curators]"
0.0065064,51482,elevation of cytosolic calcium ion concentration involved in G-protein signaling coupled to IP3 second messenger,biological process,7204,elevation of cytosolic calcium ion concentration,,,,,,,Any process that increases the concentration of calcium ions in the cytosol that contributes to the process of G-protein signaling coupled to IP3 second messenger. [GOC:ai]
0.0085724,1958,endochondral ossification,biological process,36075,replacement ossification,,,,,,,"Replacement ossification wherein bone tissue replaces cartilage. [GO_REF:0000034, ISBN:0878932437]"
0.0085724,48545,response to steroid hormone stimulus,biological process,9725,response to hormone stimulus,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a steroid hormone stimulus. [GOC:go_curators]"
0.010891,1662,behavioral fear response,biological process,2209,behavioral defense response,42596,fear response,,,,,"An acute behavioral change resulting from a perceived external threat. [GOC:dph, PMID:9920659]"
0.010891,8219,cell death,biological process,9987,cellular process,16265,death,,,,,"Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as \apoptotic bodies\""); and/or (3) its corpse (or its fragments) have been engulfed by an adjacent cell in vivo."" [GOC:mah, GOC:mtg_apoptosis]"
0.010891,8306,associative learning,biological process,7612,learning,,,,,,,Learning by associating a stimulus (the cause) with a particular outcome (the effect). [ISBN:0582227089]
0.013453,45778,positive regulation of ossification,biological process,30278,regulation of ossification,51240,positive regulation of multicellular organismal process,,,,,"Any process that activates or increases the frequency, rate or extent of bone formation. [GOC:go_curators]"
0.016249,45672,positive regulation of osteoclast differentiation,biological process,2763,positive regulation of myeloid leukocyte differentiation,45670,regulation of osteoclast differentiation,,,,,"Any process that activates or increases the frequency, rate or extent of osteoclast differentiation. [GOC:go_curators]"
0.019269,42327,positive regulation of phosphorylation,biological process,42325,regulation of phosphorylation,45937,positive regulation of phosphate metabolic process,,,,,"Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to a molecule. [GOC:jl]"
0.022505,1649,osteoblast differentiation,biological process,30154,cell differentiation,,,,,,,"The process whereby a relatively unspecialized cell acquires the specialized features of an osteoblast, a mesodermal or neural crest cell that gives rise to bone. [CL:0000062, GO_REF:0000034, GOC:jid]"
0.022505,30217,T cell differentiation,biological process,30098,lymphocyte differentiation,42110,T cell activation,,,,,"The process in which a precursor cell type acquires characteristics of a more mature T-cell. A T cell is a type of lymphocyte whose definin characteristic is the expression of a T cell receptor complex. [GO_REF:0000022, GOC:jid, GOC:mah, GOC:mtg_15nov05]"
0.022505,48538,thymus development,biological process,48534,hemopoietic or lymphoid organ development,,,,,,,"The process whose specific outcome is the progression of the thymus over time, from its formation to the mature structure. The thymus is a symmetric bi-lobed organ involved primarily in the differentiation of immature to mature T cells, with unique vascular, nervous, epithelial, and lymphoid cell components. [GOC:add, ISBN:0781735149]"
0.022505,48663,neuron fate commitment,biological process,45165,cell fate commitment,,,,,,,The process in which the developmental fate of a cell becomes restricted such that it will develop into a neuron. [GOC:dph]
0.023373,6916,anti-apoptosis,biological process,43066,negative regulation of apoptotic process,,,,,,,A process which directly inhibits any of the steps required for cell death by apoptosis. [GOC:go_curators]
0.025947,1654,eye development,biological process,7423,sensory organ development,,,,,,,"The process whose specific outcome is the progression of the eye over time, from its formation to the mature structure. The eye is the organ of sight. [GOC:jid, GOC:jl]"
0.025947,7631,feeding behavior,biological process,7610,behavior,,,,,,,Behavior associated with the intake of food. [GOC:mah]
0.025947,33077,T cell differentiation in thymus,biological process,30217,T cell differentiation,,,,,,,"The process in which a precursor cell type acquires the specialized features of a T cell via a differentiation pathway dependent upon transit through the thymus. [GOC:add, ISBN:0781735149]"
0.025947,45669,positive regulation of osteoblast differentiation,biological process,45597,positive regulation of cell differentiation,45667,regulation of osteoblast differentiation,,,,,"Any process that activates or increases the frequency, rate or extent of osteoblast differentiation. [GOC:go_curators]"
0.029588,7189,activation of adenylate cyclase activity by G-protein signaling pathway,biological process,7188,"G-protein signaling, coupled to cAMP nucleotide second messenger",7190,activation of adenylate cyclase activity,10579,positive regulation of adenylate cyclase activity by G-protein signaling pathway,,,"Any process that initiates the activity of an inactive adenylate cyclase that is an integral part of the series of molecular signals generated as a consequence of a G-protein coupled receptor binding to its physiological ligand, resulting in a subsequent change in the concentration of cyclic AMP. [GOC:dph, GOC:mah, GOC:tb, ISBN:0815316194]"
0.029588,35725,sodium ion transmembrane transport,biological process,6814,sodium ion transport,34220,ion transmembrane transport,,,,,A process in which a sodium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore. [GOC:vw]
0.029588,40007,growth,biological process,8150,biological_process,,,,,,,"The increase in size or mass of an entire organism, a part of an organism or a cell. [GOC:bf, GOC:ma]"
0.029588,48812,neuron projection morphogenesis,biological process,48858,cell projection morphogenesis,,,,,,,"The process in which the anatomical structures of a neuron projection are generated and organized. A neuron projection is any process extending from a neural cell, such as axons or dendrites. [GOC:mah]"
0.033419,9636,response to toxin,biological process,42221,response to chemical stimulus,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a toxin stimulus. [GOC:lr]"
0.033419,40018,positive regulation of multicellular organism growth,biological process,40014,regulation of multicellular organism growth,45927,positive regulation of growth,51240,positive regulation of multicellular organismal process,,,"Any process that activates or increases the frequency, rate or extent of growth of an organism to reach its usual body size. [GOC:dph, GOC:go_curators, GOC:tb]"
0.037432,10811,positive regulation of cell-substrate adhesion,biological process,10810,regulation of cell-substrate adhesion,45785,positive regulation of cell adhesion,,,,,"Any process that increases the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules. [GOC:dph, GOC:pf, GOC:tb]"
0.041619,30336,negative regulation of cell migration,biological process,30334,regulation of cell migration,2000146,negative regulation of cell motility,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell migration. [GOC:go_curators]"
0.041619,43588,skin development,biological process,8544,epidermis development,,,,,,,"The process whose specific outcome is the progression of the skin over time, from its formation to the mature structure. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner vascular dermis (cutis, corium or true skin) composed mostly of connective tissue. [GOC:jl, UBERON:0002097]"
som_mouse_5_6,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.00041842,42596,fear response,biological process,33555,multicellular organismal response to stress,,,,,,,The response of an organism to a perceived external threat. [GOC:go_curators]
0.0012383,43534,blood vessel endothelial cell migration,biological process,43542,endothelial cell migration,,,,,,,The orderly movement of an endothelial cell into the extracellular matrix in order to form new blood vessels during angiogenesis. [PMID:11166264]
0.0040176,6198,cAMP catabolic process,biological process,6195,purine nucleotide catabolic process,9214,cyclic nucleotide catabolic process,46058,cAMP metabolic process,,,"The chemical reactions and pathways resulting in the breakdown of the nucleotide cAMP (cyclic AMP, adenosine 3',5'-cyclophosphate). [ISBN:0198506732]"
0.0040176,21904,dorsal/ventral neural tube patterning,biological process,9953,dorsal/ventral pattern formation,,,,,,,"The process in which the neural tube is regionalized in the dorsoventral axis. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06, PMID:11262869]"
0.0059456,7131,reciprocal meiotic recombination,biological process,22402,cell cycle process,35825,reciprocal DNA recombination,,,,,The cell cycle process in which double strand breaks are formed and repaired through a double Holliday junction intermediate. This results in the equal exchange of genetic material between non-sister chromatids in a pair of homologous chromosomes. These reciprocal recombinant products ensure the proper segregation of homologous chromosomes during meiosis I and create genetic diversity. [PMID:2087779]
0.0059456,45582,positive regulation of T cell differentiation,biological process,45580,regulation of T cell differentiation,45621,positive regulation of lymphocyte differentiation,50870,positive regulation of T cell activation,,,"Any process that activates or increases the frequency, rate or extent of T cell differentiation. [GOC:go_curators]"
0.0059456,48010,vascular endothelial growth factor receptor signaling pathway,biological process,7169,transmembrane receptor protein tyrosine kinase signaling pathway,,,,,,,"Any series of molecular signals initiated by the binding of an extracellular ligand to a vascular endothelial growth factor receptor (VEGFR) located on the surface of the receiving cell, and ending with regulation of a downstream cellular process, e.g. transcription. [GOC:ceb, GOC:signaling, PR:000001971]"
0.0082123,32781,positive regulation of ATPase activity,biological process,43462,regulation of ATPase activity,51345,positive regulation of hydrolase activity,,,,,Any process that activates or increases the rate of ATP hydrolysis by an ATPase. [GOC:mah]
0.0085813,48704,embryonic skeletal system morphogenesis,biological process,48562,embryonic organ morphogenesis,48705,skeletal system morphogenesis,,,,,"The process in which the anatomical structures of the skeleton are generated and organized during the embryonic phase. [GOC:dph, GOC:dsf, GOC:jid, GOC:tb, PMID:16049113]"
0.016903,1974,blood vessel remodeling,biological process,48771,tissue remodeling,,,,,,,The reorganization or renovation of existing blood vessels. [GOC:hjd]
0.016903,42100,B cell proliferation,biological process,42113,B cell activation,46651,lymphocyte proliferation,,,,,The expansion of a B cell population by cell division. Follows B cell activation. [GOC:jl]
0.016903,55010,ventricular cardiac muscle tissue morphogenesis,biological process,55008,cardiac muscle tissue morphogenesis,,,,,,,The process in which the anatomical structures of cardiac ventricle muscle is generated and organized. [GOC:devbiol]
0.020384,1657,ureteric bud development,biological process,35295,tube development,,,,,,,"The process whose specific outcome is the progression of the ureteric bud over time, from its formation to the mature structure. [GOC:go_curators]"
0.020384,1932,regulation of protein phosphorylation,biological process,31399,regulation of protein modification process,42325,regulation of phosphorylation,,,,,"Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein. [GOC:hjd]"
0.020936,51216,cartilage development,biological process,61448,connective tissue development,,,,,,,"The process whose specific outcome is the progression of the cartilage over time, from its formation to the mature structure. Cartilage is a connective tissue dominated by extracellular matrix containing collagen type II and large amounts of proteoglycan, particularly chondroitin sulfate. [http://www.onelook.com]"
0.024136,9725,response to hormone stimulus,biological process,9719,response to endogenous stimulus,10033,response to organic substance,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus. [GOC:jl]"
0.024136,42542,response to hydrogen peroxide,biological process,302,response to reactive oxygen species,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydrogen peroxide (H2O2) stimulus. [GOC:jl]"
0.024136,46330,positive regulation of JNK cascade,biological process,32874,positive regulation of stress-activated MAPK cascade,46328,regulation of JNK cascade,,,,,"Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the JNK cascade. [GOC:bf]"
0.029003,7507,heart development,biological process,48513,organ development,,,,,,,"The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood. [GOC:jid, UBERON:0000948]"
0.031848,6916,anti-apoptosis,biological process,43066,negative regulation of apoptotic process,,,,,,,A process which directly inhibits any of the steps required for cell death by apoptosis. [GOC:go_curators]
0.032403,51291,protein heterooligomerization,biological process,51259,protein oligomerization,,,,,,,"The process of creating protein oligomers, compounds composed of a small number, usually between three and ten, of component monomers that are not all identical. Oligomers may be formed by the polymerization of a number of monomers or the depolymerization of a large protein polymer. [GOC:ai]"
0.036894,48706,embryonic skeletal system development,biological process,1501,skeletal system development,,,,,,,"The process, occurring during the embryonic phase, whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. [GOC:dph, GOC:dsf, GOC:jid, GOC:tb, PMID:16049113]"
som_mouse_6_1,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
6.66E-16,6260,DNA replication,biological process,6259,DNA metabolic process,34645,cellular macromolecule biosynthetic process,,,,,"The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by initiation proteins, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA. [GOC:mah]"
2.74E-12,7059,chromosome segregation,biological process,9987,cellular process,,,,,,,"The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the alignment of chromosomes at the metaphase plate, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles. [GOC:ai, GOC:mah]"
1.42E-07,7076,mitotic chromosome condensation,biological process,22402,cell cycle process,30261,chromosome condensation,,,,,"The cell cycle process in which chromatin structure is compacted prior to and during mitosis in eukaryotic cells. [GOC:mah, ISBN:0815316194]"
4.93E-07,6310,DNA recombination,biological process,6259,DNA metabolic process,,,,,,,"Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Intrachromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction. [ISBN:0198506732]"
5.42E-07,910,cytokinesis,biological process,9987,cellular process,,,,,,,"A cellular process resulting in the division of the cytoplasm of a cell and its separation into two daughter cells. Cytokinesis usually occurs after growth, replication, and segregation of cellular components. [GOC:ai]"
2.33E-06,77,DNA damage checkpoint,biological process,6974,response to DNA damage stimulus,31570,DNA integrity checkpoint,,,,,"A cell cycle checkpoint that regulates progression through the cell cycle in response to DNA damage. A DNA damage checkpoint may blocks cell cycle progression (in G1, G2 or metaphase) or slow the rate at which S phase proceeds. [GOC:mah, PMID:11891124]"
7.80E-06,51276,chromosome organization,biological process,6996,organelle organization,,,,,,,"A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"
7.80E-06,6270,DNA-dependent DNA replication initiation,biological process,6259,DNA metabolic process,,,,,,,"The process in which DNA replication is started; this involves the separation of a stretch of the DNA double helix, the recruitment of DNA polymerases and the initiation of polymerase action. [ISBN:071673706X, ISBN:0815316194]"
2.64E-05,30261,chromosome condensation,biological process,6323,DNA packaging,51276,chromosome organization,,,,,"The progressive compaction of dispersed interphase chromatin into threadlike chromosomes prior to mitotic or meiotic nuclear division, or during apoptosis, in eukaryotic cells. [GOC:mah, ISBN:0815316194]"
3.71E-05,7080,mitotic metaphase plate congression,biological process,22402,cell cycle process,51310,metaphase plate congression,,,,,"The cell cycle process in which chromosomes are aligned at the metaphase plate, a plane halfway between the poles of the mitotic spindle, during mitosis. [GOC:mah, ISBN:0815316194]"
4.68E-05,6334,nucleosome assembly,biological process,34728,nucleosome organization,65004,protein-DNA complex assembly,,,,,"The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA. [GOC:mah]"
6.11E-05,42127,regulation of cell proliferation,biological process,50794,regulation of cellular process,,,,,,,"Any process that modulates the frequency, rate or extent of cell proliferation. [GOC:jl]"
0.00010672,724,double-strand break repair via homologous recombination,biological process,725,recombinational repair,6302,double-strand break repair,,,,,"The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule. [GOC:elh, PMID:10357855]"
0.0001077,22008,neurogenesis,biological process,30154,cell differentiation,,,,,,,"Generation of cells within the nervous system. [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06]"
0.00014754,89,mitotic metaphase,biological process,51323,metaphase,,,,,,,"Metaphase occurring as part of mitosis. Metaphase is the part of nuclear division in which, canonically, chromosomes become aligned on the equatorial plate of the cell. Mitosis is the cell cycle process in which, canonically, the nucleus of a eukaryotic cell divides to produce two daughter nuclei whose chromosome complement is identical to that of the mother cell. [ISBN:0815316194]"
0.00014754,6287,"base-excision repair, gap-filling",biological process,6259,DNA metabolic process,,,,,,,"Repair of the damaged strand by the combined action of an apurinic endouclease that degrades a few bases on the damaged strand and a polymerase that synthesizes a 'patch' in the 5' to 3' direction, using the undamaged strand as a template. [ISBN:1550091131]"
0.00014754,16572,histone phosphorylation,biological process,6468,protein phosphorylation,16570,histone modification,,,,,The modification of histones by addition of phosphate groups. [GOC:ai]
0.00014754,43137,"DNA replication, removal of RNA primer",biological process,6259,DNA metabolic process,6401,RNA catabolic process,,,,,"Removal of the Okazaki RNA primer from the lagging strand of replicating DNA, by a combination of the actions of DNA polymerase, DNA helicase and an endonuclease. [GOC:jl, PMID:12424238]"
0.00014754,60236,regulation of mitotic spindle organization,biological process,7346,regulation of mitotic cell cycle,90224,regulation of spindle organization,,,,,"Any process that modulates the rate, frequency or extent of the assembly, arrangement of constituent parts, or disassembly of the microtubule spindle during a mitotic cell cycle. [GOC:ascb_2009, GOC:dph, GOC:tb]"
